frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,3,7.5,0.32,0.12099891232612074,0.9074918424459055,0.013699054626924646,0.82,0.0,0.8499999999999999,4.402178401313887,4.4229903970667825,0.004705412828094175,True,True,3.191891195797325e-16,8.875387091933362e-10
gaussian,3,7.5,0.36,0.13612377636688583,1.0209283227516437,0.017353378164332522,0.82,0.0,0.8499999999999999,3.4751552018278935,3.4957243663572535,0.005884092214854523,True,True,2.220446049250313e-16,1.1842650193827353e-09
gaussian,3,9.0,0.2,0.06302026683652123,0.567182401528691,0.004448460584763292,0.82,0.0,0.85,13.556528432245488,13.574506339923627,0.001324387585665981,True,True,2.6645352591003757e-15,5.405556002813228e-10
gaussian,3,9.0,0.24,0.07562432020382544,0.680618881834429,0.0064083350250350056,0.82,0.0,0.85,9.410507122595003,9.428366117276008,0.0018941770460399055,True,True,1.9317880628477724e-14,5.818902026888395e-10
gaussian,3,9.0,0.28,0.0882283735711297,0.7940553621401673,0.008726568481990356,0.82,0.0,0.8499999999999999,6.910583755977381,6.928312830686463,0.0025589310330441707,True,True,3.2057689836051395e-15,6.38819663834056e-10
gaussian,3,9.0,0.32,0.10083242693843394,0.9074918424459055,0.011404178380187972,0.82,0.0,0.8499999999999999,5.288033945683752,5.305623559072968,0.0033152773078173885,True,True,5.273559366969494e-16,7.626589360043567e-10
gaussian,3,9.0,0.36,0.11343648030573819,1.0209283227516437,0.014442345143873013,0.82,0.0,0.85,4.175615649419021,4.193054089556624,0.004158887475607796,True,True,2.220446049250313e-16,9.647452836603065e-10
gaussian,3,10.5,0.2,0.054017371574161054,0.567182401528691,0.003812051616050697,0.82,0.1364256480218281,0.8497516009358025,15.824755903573598,15.835222116907268,0.0006609451548200988,True,True,4.440892098500626e-16,5.432854166542711e-10
gaussian,3,10.5,0.24,0.06482084588899324,0.680618881834429,0.005490959250813315,0.82,0.0,0.8499999999999999,10.982722625037573,10.998117891378927,0.0013998091758428946,True,True,3.9968028886505635e-15,5.753715281997529e-10
gaussian,3,10.5,0.28,0.07562432020382545,0.7940553621401673,0.00747639086254084,0.82,0.0,0.85,8.06614896222429,8.081456122359857,0.0018941091684226286,True,True,2.298161660974074e-14,6.253156881186328e-10
gaussian,3,10.5,0.32,0.08642779451865767,0.9074918424459055,0.009768984303761396,0.82,0.0,0.85,6.1731783491398575,6.188390415087727,0.0024581619657966817,True,True,2.498001805406602e-16,6.821818665514456e-10
gaussian,3,10.5,0.36,0.09723126883348987,1.0209283227516437,0.01236947852954582,0.82,0.0,0.8499999999999999,4.875361742455042,4.890473286863614,0.0030899963095929873,True,True,2.220446049250313e-16,8.463402201286385e-10
gaussian,3,12.0,0.2,0.04726520012739092,0.567182401528691,0.003335026198108008,0.82,0.1364256480218281,0.8497822944791285,18.08729633572272,18.096105998587483,0.00048682644019940085,True,True,1.1102230246251565e-16,5.432597705024023e-10
gaussian,3,12.0,0.24,0.05671824015286908,0.680618881834429,0.004803512017963541,0.82,0.1364256480218281,0.8496864022908358,12.559261429210867,12.568023507016514,0.0006971722960858145,True,True,1.2212453270876722e-15,5.68361913089177e-10
gaussian,3,12.0,0.28,0.06617128017834727,0.7940553621401673,0.0065398434933926506,0.82,0.0,0.85,9.221273025569362,9.234734354937814,0.0014576845257334597,True,True,5.88418203051333e-15,6.037637056977019e-10
gaussian,3,12.0,0.32,0.07562432020382547,0.9074918424459055,0.008544446700046674,0.82,0.0,0.85,7.0578803419462535,7.071274071429768,0.0018941041385496914,True,True,2.5757174171303632e-14,6.692900678118008e-10
gaussian,3,12.0,0.36,0.08507736022930364,1.0209283227516437,0.01081781478001906,0.82,0.0,0.8499999999999999,5.574663980053881,5.587986179031085,0.002384078727180043,True,True,9.547918011776346e-14,7.552013459033446e-10
gaussian,4,6.0,0.2,0.07297441963235268,0.4378465177941161,0.006676822097157735,0.82,0.0,0.8499999999999999,9.03209363968801,9.029358671803093,0.00030289724711657584,True,True,1.9984014443252818e-14,5.617155629522586e-10
gaussian,4,6.0,0.24,0.08756930355882321,0.5254158213529393,0.009621086813301092,0.82,0.0,0.85,6.268073822355986,6.265350738512023,0.00043462592241245735,True,True,2.6367796834847468e-15,6.525355811248801e-10
gaussian,4,6.0,0.28,0.10216418748529381,0.6129851249117628,0.013105795255059827,0.82,0.0,0.85,4.601451588661467,4.59872155410234,0.0005936507629368069,True,True,4.440892098500626e-16,8.089739989003419e-10
gaussian,4,6.0,0.32,0.11675907141176432,0.7005544284705859,0.017133542204301112,0.82,0.0,0.8499999999999999,3.5197440014434336,3.5169908965714733,0.000782801250536101,True,True,3.247402347028583e-15,1.0702728703293474e-09
gaussian,4,6.0,0.36,0.13135395533823488,0.7881237320294092,0.021707347735651132,0.82,0.0,0.8499999999999998,2.7781230176740253,2.775328134836103,0.0010070459066949628,True,True,4.440892098500626e-16,1.0885820023176507e-09
gaussian,4,7.5,0.2,0.05837953570588215,0.4378465177941161,0.005338527171659886,0.82,0.1364256480218281,0.8496242801105209,11.290806169489564,11.29410388995518,0.0002919860218878353,True,True,3.552713678800501e-15,5.48839196312656e-10
gaussian,4,7.5,0.24,0.07005544284705857,0.5254158213529393,0.00769077925404605,0.82,0.0,0.8499999999999999,7.841296753555951,7.839104690753689,0.00027963178050773984,True,True,1.554312234475219e-14,6.000697716501691e-10
gaussian,4,7.5,0.28,0.08173134998823504,0.6129851249117628,0.01047332366724356,0.82,0.0,0.85,5.7580271853604055,5.755845913670371,0.00037896631055630355,True,True,1.6653345369377348e-16,7.032220361580244e-10
